"Unit","Three Month Average","November 2018","December 2018","January 2019","January 2018","2019 Year to Date"
"Homicide Unit",9.5,15.9,9.6,10.1,14.5,9.4
"D-14 DCU SQUAD",4.4,7.6,3,3.5,10.4,4.6
"District 04",11.5,8.3,11.6,13.2,8,11.5
"Civil Rights Unit",1,0.8,1.2,0.9,0.8,0.9
"District 02",31.8,35.6,35.8,25.5,32.7,29.9
"D-4 DCU SQUAD",10.9,13.8,10.9,14,13.4,10.9
"District 13",8.6,6.9,7.8,9.5,5.5,8.9
"Youth Violence Strike Force",20,28.4,21.3,17.5,22.7,19.3
"C-11 DCU SQUAD",8.5,6.1,6.7,9.1,10.8,9.4
"D-14 Detective",4.5,4.4,4.2,5.7,3,4.7
"E-18 Detective",2,1.8,1.6,2.2,2.1,2.2
"B-3 Detective",13,17.1,9.1,15.2,14.8,14.9
"Drug Control Unit",2,2,2.4,1,1.2,1.8
"E-13 Detective",3.3,3.3,3,2.6,6.3,3.5
"Bicycle Unit",1.1,0.4,1.5,0.8,0.6,1
"A-7 Detective",2.8,3.8,3.3,3.1,2.5,2.5
"Sexual Assault Unit",7.2,5.6,9.8,5.9,6,5.9
"E-5 Detective",4,4.7,3.4,3.7,3.2,4.3
"District 11",10.5,12.3,8.5,15.3,17.7,11.5
"B-2 Detective",12.3,13.9,12.7,12,9.7,12.1
"A-1 Detective",8.9,9.6,7.3,11,3.2,9.8
"District 06",4.7,5.7,3.8,6.3,6.4,5.2
"District 14",6.4,5.6,5.4,7.4,5.6,6.8
"Technical Services Group",1,0.8,NA,1.2,NA,1
"District Attorney's Off Unit",0.6,NA,1,0.4,NA,0.4
"C-6 Detective",4.3,6.2,3.4,5.7,1.9,4.8
"District 03",15.6,17.7,18.3,18.5,17.6,14.2
"A-1 DCU SQUAD",9.4,15.2,7.9,11.2,13.7,10.2
"E-5 DCU SQUAD",7.4,6.1,5.4,8.2,7.8,8.4
"A-7 DCU SQUAD",5.5,4.6,7.2,4.7,10.2,4.7
"C-11 Detective",10.8,12.2,10.9,10.1,9.9,10.7
"D-4 Detective",9,9.5,8.6,7.8,12.2,9.2
"E-13 DCU SQUAD",4.1,6,4,5.6,5.9,4.1
"District 05",1.9,3.9,1.4,2.3,3.2,2.2
"District 07",6.8,5.1,9.4,6.1,3.2,5.5
"C-6 DCU SQUAD",6.6,7.7,4.5,9.7,6.9,7.6
"Licensed Premises Unit",2.6,2.5,1,4.4,1.7,3.1
"Fugitive Section",0.6,0.8,NA,0.8,0.8,0.6
"B-2 DCU SQUAD",3.2,8.8,3.4,1.9,4.8,3.3
"Domestic Violence Unit",17.5,15,16.4,19.5,14.9,18.1
"B-3 DCU SQUAD",9.8,6,14.6,7,8.6,7.4
"Harbor Patrol Unit",1,NA,0.4,0.8,0.8,1.7
"District 18",3.2,3.3,2,4.1,3.8,3.9
"Crime Scene Response unit",3,3.7,5,2.4,2.1,2
"District 01",15.8,15.1,10.9,17.1,8.6,18.3
"Mobile Operations Patrol Unit",2.3,2.8,1.6,4.1,1,2.7
"Building Security Unit",0.4,NA,NA,NA,NA,0.4
"Canine Unit",1.4,0.5,1.9,1.3,1.2,1.2
"City Wide DCU SQ #1",0.6,1.1,NA,NA,NA,0.6
"Medically Incapacitated Unit",1.2,0.8,0.8,0.7,0.9,1.3
"E-18 DCU SQUAD",4.3,4.9,1.7,5.1,7.3,5.5
"Field Operations Group",1.4,1.2,1.8,1.8,0.4,1.3
"Firearms Analysis Unit",0.6,NA,NA,NA,NA,0.6
"City Wide DCU SQ #2",2.2,NA,0.8,3.1,2.4,2.9
"Academy",0.6,NA,NA,0.4,NA,0.6
"Bureau Field Serv./ Off. Chief",0.8,0.8,NA,0.6,0.4,0.8
"Evidence Control Unit",0.5,NA,NA,NA,0.8,0.5
"Special Investigation Unit",1.2,0.6,1.8,1.4,4.1,1.2
"Hackney Carriage Unit",0.9,1,1.4,NA,0.5,0.4
"Operations Division",0.9,1,0.7,1.6,NA,1
"Licensing Unit",0.8,NA,NA,0.8,NA,0.8
"Boston Region Intel Ctr (BRIC)",1.4,0.8,1.9,0.8,NA,0.8
"Hazard Materials Response Unit",1.2,NA,NA,1.2,NA,1.2
"Forensics Group",0.8,0.8,NA,0.8,NA,0.8
"Explosive Ordinance Unit",0.6,0.8,0.8,0.4,0.4,0.4
"Comm. Vehicle Unit",0.4,1.6,0.4,NA,NA,NA
"Crime Stoppers Unit",0.4,NA,0.4,NA,NA,NA
"D.E.A. Task Force",NA,2.3,NA,NA,NA,NA
"Paid Detail Assignment",NA,0.8,NA,NA,NA,NA
"Court Unit",NA,NA,NA,NA,NA,NA
"Recruit Investigations Unit",NA,NA,NA,NA,NA,NA
"Dignitary Protection Unit",NA,NA,NA,NA,NA,NA
"Human Trafficking Unit",NA,NA,NA,NA,0.8,NA
"Office of Media Relations",NA,NA,NA,NA,NA,NA
"Crimes Against Children Unit",NA,NA,NA,NA,NA,NA
"Criminal InvestigativeDivision",NA,NA,NA,NA,NA,NA
"Firearms Training Unit (Range)",NA,NA,NA,NA,NA,NA
"Administrative Leave Unit",NA,NA,NA,NA,0.8,NA
"Family Assistance Unit",NA,NA,NA,NA,NA,NA
"Extended Sick Unit",NA,NA,NA,NA,NA,NA
"Anti-Corruption Division",NA,NA,NA,NA,NA,NA
"Internal Affairs Division",NA,NA,NA,NA,NA,NA
"Fire Investigation Unit",NA,NA,NA,NA,NA,NA
"School Police",NA,NA,NA,NA,NA,NA
"Bureau of Intellig & Analysis",NA,NA,NA,NA,NA,NA
