"Unit","Three Month Average","November 2018","December 2018","January 2019","January 2018","2019 Year to Date"
"Drug Control Unit",138.1,136.5,170.1,66.7,78.7,122
"District 03",941.7,1044.7,1083.9,1126.4,1014.9,870.6
"B-2 Detective",803.3,914.8,825.9,787.9,610.3,792
"Crime Scene Response unit",191.7,240.5,322.3,161.7,137.9,131.4
"District 13",513.9,414.2,475.1,560.1,317.5,533.4
"C-6 DCU SQUAD",412.5,493.7,280.5,606.8,407.9,478.4
"District 18",201.2,204.6,121.8,253.2,228.3,240.9
"E-18 Detective",133.3,119.9,110,149.8,134,144.9
"A-7 Detective",185.2,250.1,221.5,206.2,158.6,167
"Homicide Unit",665.1,1123.3,667.2,720.7,990.1,664.1
"A-7 DCU SQUAD",360.8,300.8,470.6,303.6,623.3,306
"D-14 DCU SQUAD",296.2,501.3,194.3,248.2,624.1,314.1
"Technical Services Group",58,48.8,NA,73.3,NA,58
"District 01",940.8,901.8,652,1016.9,485,1085.2
"Sexual Assault Unit",480.2,374.1,659.9,382.8,398.9,390.4
"D-4 Detective",591.2,635,569.3,502.8,800.6,602.2
"Domestic Violence Unit",1156.7,1003.5,1081,1283,954.1,1194.5
"District 05",132.4,258.7,97.1,152.5,197.5,150.1
"E-13 DCU SQUAD",272.3,397.4,266.9,378,361.4,275
"A-1 DCU SQUAD",576.6,978.2,502.7,679.9,864.5,623
"District 14",419.2,382.5,336.9,498.6,371.1,460.3
"D-4 DCU SQUAD",719.7,916.9,717.8,923.3,839.6,720.6
"E-5 Detective",263.2,309,217.8,242.9,211.3,285.9
"District Attorney's Off Unit",39.9,NA,67.9,25.9,NA,25.9
"District 02",1913.6,2065.1,2160.1,1501.3,1862.7,1790.4
"Civil Rights Unit",68.3,52.9,86.2,58.8,50.2,59.3
"C-11 DCU SQUAD",544,395.4,428.9,575,662.9,601.6
"Fugitive Section",39.8,55.2,NA,55.2,51.2,39.8
"District 04",707.1,511.5,707.3,796.3,465.6,707
"E-13 Detective",218.7,208.8,198.5,172.6,399.4,228.8
"C-11 Detective",701.7,802.1,704.5,647.5,616.4,700.3
"District 07",406.7,304.5,571.6,355,190.4,324.2
"Licensed Premises Unit",179.3,172.4,64.7,305.1,115.3,213.8
"District 06",286.4,347.8,219.5,377.2,400,319.8
"E-5 DCU SQUAD",480.6,393.8,351,532.2,495,545.4
"Bicycle Unit",68.6,24.4,89.4,48.8,34,61.4
"B-3 DCU SQUAD",626.3,374.1,934.3,453.3,539.2,472.2
"District 11",633.4,734,495.8,943.5,1032.1,702.2
"B-3 Detective",840.1,1130.7,582.3,997.9,930.9,969
"B-2 DCU SQUAD",210.8,559.9,221.4,119.8,282,217.7
"A-1 Detective",605.9,645.8,496.2,752,213.1,660.8
"D-14 Detective",310.8,290.4,286.7,388.8,198.3,322.8
"Youth Violence Strike Force",1227.9,1720.1,1303.7,1077.8,1352,1190
"Harbor Patrol Unit",66.6,NA,28.5,53.8,47.5,104.8
"C-6 Detective",309.3,435.2,240.4,403.6,122.4,343.8
"Mobile Operations Patrol Unit",139.9,162.3,98.7,239.4,63,160.5
"E-18 DCU SQUAD",265.4,299.5,107.2,320.9,436.5,341.1
"City Wide DCU SQ #1",34.1,60.7,NA,NA,NA,34.1
"Medically Incapacitated Unit",71.8,44.5,45.5,41,54.3,78.6
"Building Security Unit",25.1,NA,NA,NA,NA,25.1
"Canine Unit",86.4,34.4,114.8,80.5,67.3,72.2
"City Wide DCU SQ #2",149.5,NA,59.9,215.5,158.4,198.5
"Firearms Analysis Unit",37.3,NA,NA,NA,NA,37.3
"Academy",43.4,NA,NA,23.3,NA,43.4
"Field Operations Group",105.2,89.4,128.6,142.9,25.1,103.4
"Bureau Field Serv./ Off. Chief",79.8,79.8,NA,59.8,34.5,79.8
"Operations Division",67.8,74.6,51.5,122.3,NA,76
"Special Investigation Unit",79.2,38,116.7,94.9,260.1,77.6
"Evidence Control Unit",30.4,NA,NA,NA,47.2,30.4
"Hackney Carriage Unit",59.9,62.6,89.5,NA,34.2,30.3
"Boston Region Intel Ctr (BRIC)",95.1,56.3,133.8,56.3,NA,56.3
"Licensing Unit",72.5,NA,NA,72.5,NA,72.5
"Hazard Materials Response Unit",72.9,NA,NA,72.9,NA,72.9
"Forensics Group",51.7,63.5,NA,51.7,NA,51.7
"Explosive Ordinance Unit",37.5,50,50,25,24.4,25
"Comm. Vehicle Unit",26,100.9,26,NA,NA,NA
"Crime Stoppers Unit",26.6,NA,26.6,NA,NA,NA
"D.E.A. Task Force",NA,146.6,NA,NA,NA,NA
"Paid Detail Assignment",NA,53.6,NA,NA,NA,NA
"Court Unit",NA,NA,NA,NA,NA,NA
"Recruit Investigations Unit",NA,NA,NA,NA,NA,NA
"Dignitary Protection Unit",NA,NA,NA,NA,NA,NA
"Human Trafficking Unit",NA,NA,NA,NA,50.2,NA
"Office of Media Relations",NA,NA,NA,NA,NA,NA
"Crimes Against Children Unit",NA,NA,NA,NA,NA,NA
"Criminal InvestigativeDivision",NA,NA,NA,NA,NA,NA
"Firearms Training Unit (Range)",NA,NA,NA,NA,NA,NA
"Administrative Leave Unit",NA,NA,NA,NA,42,NA
"Family Assistance Unit",NA,NA,NA,NA,NA,NA
"Extended Sick Unit",NA,NA,NA,NA,NA,NA
"Anti-Corruption Division",NA,NA,NA,NA,NA,NA
"Internal Affairs Division",NA,NA,NA,NA,NA,NA
"Fire Investigation Unit",NA,NA,NA,NA,NA,NA
"School Police",NA,NA,NA,NA,NA,NA
"Bureau of Intellig & Analysis",NA,NA,NA,NA,NA,NA
