"School","Target","March 08","December 2018","January 2019","February 2019","2019 to Date"
"Hernandez K-8",95,NA,NA,92.4,94.8,93.8
"Grew Elementary",95,99.6,NA,91.9,93.5,93.2
"Lyon High School",95,99.3,NA,84.2,84.9,85.3
"Bates Elementary",95,NA,NA,92.5,94,93.6
"Perkins Elementary",95,NA,NA,88,91.1,90
"Edison K-8 School",95,100,NA,90.9,91.8,91.8
"Irving Middle School",95,99.7,NA,90.9,91.4,91.4
"Mattahunt Elementary School",95,NA,NA,88.3,91.4,90.2
"Excel High School",95,99.8,NA,84.7,86.9,86.7
"Taylor Elementary",95,NA,NA,92,93.6,93.1
"Kennedy E.M Academy for Health Careers (11-12)",95,100,NA,89.4,89.3,90.1
"Adams Elementary",95,NA,NA,93.2,93.5,93.6
"Hurley K-8 School",95,NA,NA,91.9,94.7,93.6
"Community Academy of Science and Health",95,99.2,NA,82.2,81.4,82.9
"Lyon K-8 School",95,NA,NA,93,94,94
"Mather Elementary",95,NA,NA,90.8,91,91.5
"Boston Arts Academy",95,100,NA,90,90,90.6
"Boston International",95,NA,NA,88.6,90.3,89.7
"Fenway High School",95,NA,NA,90.6,91.1,91.2
"Kennedy John F Elementary",95,NA,NA,91.1,92.7,92.2
"Boston Adult Tech Acad",95,NA,NA,55.4,58.7,59.2
"Boston Community Leadership Academy",95,99.8,NA,88.7,88.3,89.2
"Community Academy",95,100,NA,66.5,71,70.7
"East Boston High School",95,NA,NA,84.2,84.1,84.7
"Henderson K-12 Inclusion School Upper",95,99.5,NA,91.2,92.1,92.1
"Mason Elementary",95,NA,NA,91.2,92.8,92.4
"Holmes Elementary",95,NA,NA,88.4,90.8,90
"Beethoven Elementary",95,NA,NA,92.8,93,93.1
"Ellison/Parks Early Education School",95,NA,NA,92.7,94.9,93.8
"Lee K-8 School",95,100,NA,90.5,93.4,92.1
"Tynan Elementary",95,NA,NA,90.2,92.3,91.2
"Mission Hill K-8 School",95,NA,NA,94.4,95.2,95.1
"Edwards Middle School",95,NA,NA,90.3,90.3,90.6
"Winthrop Elementary",95,NA,NA,88.6,90.3,89.9
"Lee Academy",95,NA,NA,90.4,91.7,91.3
"Roosevelt K-8 School (2-8)",95,NA,NA,93.7,93.8,94.2
"Young Achievers K-8 School",95,NA,NA,88.5,91.1,90.2
"Boston Green Academy",95,99.8,NA,86.9,86.8,87.8
"TechBoston Academy 6-12",95,99.7,NA,87.1,89.5,88.7
"Clap Innovation School",95,NA,NA,90.6,91.3,91
"Blackstone Innovation School",95,NA,NA,88.2,90.7,89.7
"Frederick Pilot Middle School",95,99.8,NA,89.6,91.4,91
"Alighieri Dante Montessori School",95,NA,NA,93.8,95.7,94.8
"Hennigan K-8 School",95,NA,NA,91.1,93.8,92.7
"Kilmer K-8 School (K-3)",95,NA,NA,94.3,92.5,93.9
"Guild Elementary",95,NA,NA,92.2,94.4,93.5
"Mendell Elementary",95,NA,NA,94.8,93.3,94.2
"Warren/Prescott K-8 School",95,NA,NA,94.1,94,94.4
"Boston Latin Academy",95,100,NA,94.9,94,95
"Roosevelt K-8 School (K1-1)",95,NA,NA,91.1,88.5,91
"Madison Park Technical Vocational High",95,100,NA,83.6,85,85.1
"Kennedy Patrick J. Elementary",95,NA,NA,93.5,95.1,94.6
"Mario Umana Academy",95,99.9,NA,92.3,94.3,93.7
"Mildred Avenue K-8 School",95,NA,NA,92,94.2,93.4
"McKinley Elementary",95,NA,NA,89,89.2,89.2
"Philbrick Elementary",95,NA,NA,92.7,94,93.5
"Henderson K-12 Inclusion School Lower",95,NA,NA,93.1,92.1,93.1
"Lyndon K-8 School",95,NA,NA,92.3,93.9,93.3
"East Boston Early Education Center",95,NA,NA,90.5,90.4,90.7
"Horace Mann School for the Deaf Hard of Hearing",95,NA,NA,89.9,91.8,91.3
"McKinley So. End Acad",95,99.4,NA,68.4,73.5,72.1
"Greenwood Sarah K-8 School",95,NA,NA,89,92.4,90.9
"Winship Elementary",95,NA,NA,92.8,93.8,93.6
"New Mission High School",95,NA,NA,90.5,91.8,91.4
"O'Bryant School of Math & Science",95,99.7,NA,93.8,93.6,94.1
"Everett Elementary",95,NA,NA,92.5,94.4,93.7
"McKay K-8 School",95,NA,NA,93.5,95.9,94.9
"Ellis Elementary",95,NA,NA,86.6,90.3,88.9
"Otis Elementary",95,NA,NA,93.4,95.3,94.5
"Russell Elementary",95,NA,NA,90.6,92.8,91.8
"Another Course to College",95,NA,NA,83.8,87.1,85.8
"Burke High School",95,NA,NA,90.3,90.7,90.6
"Boston Collaborative High School",95,90.5,NA,76.5,86.9,83.2
"Margarita Muniz Academy",95,99.7,NA,86.3,89.3,88.6
"King K-8 School",95,99.8,NA,88.1,91.6,90.5
"Jackson/Mann K-8 School",95,NA,NA,90.9,92.3,91.8
"Manning Elementary",95,NA,NA,95.7,92.9,94.9
"Murphy K-8 School",95,NA,NA,93.9,94.2,94.4
"Quincy Elementary",95,NA,NA,95.8,95.8,96.1
"Orchard Gardens K-8 School",95,99.9,NA,93.3,95.6,94.8
"Boston Day/Evening Academy",95,0,NA,41.4,45.3,41.1
"Conley Elementary",95,NA,NA,91.4,93.1,92.3
"McKinley Prep High Sch",95,NA,NA,46.7,45,47.6
"Brighton High School",95,100,NA,78.6,80.6,80.6
"Shaw Pauline A Elementary",95,NA,NA,87.5,90.4,89.2
"Tobin K-8 School",95,NA,NA,89.4,92.4,91.2
"Dearborn 6-12 STEM Academy",95,NA,NA,92.3,94.7,93.6
"Quincy Upper School",95,99.8,NA,91.3,89.2,91.1
"Higginson/Lewis K-8",95,NA,NA,92.4,91.5,92.5
"Perry K-8 School",95,NA,NA,91.1,91.7,91.9
"West Zone Early Learning Center",95,NA,NA,88.4,88.2,88.6
"Dever Elementary",95,NA,NA,89,89.5,89.7
"Bradley Elementary",95,NA,NA,94.3,93,94.2
"Hale Elementary",95,NA,NA,92.5,93.6,93.3
"Kilmer K-8 School (4-8)",95,NA,NA,94.2,95.1,94.8
"Dudley Street Neighborhood School",95,NA,NA,91.5,93.4,92.9
"Haynes Early Education Center",95,NA,NA,92.9,94.7,94
"Mozart Elementary",95,NA,NA,93.4,93.2,93.5
"Curley K-8 School",95,NA,NA,91.9,93.1,92.7
"Kenny Elementary",95,NA,NA,92.8,93.3,93.5
"Newcomers Academy",95,NA,NA,87.2,90.5,88.8
"Haley Pilot School",95,NA,NA,92.1,93.7,93.1
"Charlestown High School",95,99.9,NA,79.6,80.6,81
"Harvard/Kent Elementary",95,NA,NA,92.1,94.5,93.5
"Timilty Middle School",95,NA,NA,88.6,87.7,88.8
"O'Donnell Elementary",95,NA,NA,92.2,93.9,93.3
"Chittick Elementary",95,NA,NA,89.1,92,90.9
"Kennedy E.M Academy for Health Careers (9-10)",95,99.5,NA,90.8,89.7,90.8
"Urban Science Academy",95,99.7,NA,79.5,79.8,80.6
"Snowden International High School",95,99.6,NA,85.3,86.1,86.4
"English High School",95,99.5,NA,83,86.7,85.6
"Gardner Pilot Academy",95,NA,NA,93,94.4,94
"Sumner Elementary",95,NA,NA,91.1,93.3,92.3
"William E Carter School",95,NA,NA,75.4,77.6,76.9
"Greater Egleston High School",95,NA,NA,44.2,41.5,45.7
"McKinley Middle",95,NA,NA,79.3,77.7,79.9
"Higginson Inclusion K0-2 School",95,99.4,NA,88.4,90.3,90
"UP Academy Boston",95,NA,NA,89.9,93.1,91.3
"Baldwin Early Learning Pilot Academy",95,NA,NA,88.9,89.7,89.6
"McCormack Middle School",95,NA,NA,89.7,89.8,90.1
"West Roxbury Academy",95,100,NA,82.2,85.3,84.7
"Trotter K-8 School",95,NA,NA,89.7,92.2,91.2
"UP Academy Holland",95,NA,NA,90.9,93.2,92.3
"Eliot K-8 Innovation School",95,NA,NA,97.4,98.9,98.2
"Condon K-8",95,NA,NA,90.3,92.9,91.9
"Ohrenberger School",95,NA,NA,93.3,94.4,94.1
"Channing Elementary",95,NA,NA,92.2,93.7,93.2
"Boston Latin School",95,99.9,NA,96.1,95.1,96
"UP Academy Dorchester",95,NA,NA,92.5,95.7,94.2
"Boston Teachers Union K-8 Pilot",95,NA,NA,92.7,94.4,93.7
